Usuario,Llamadas contestadas,Llamadas perdidas,Llamadas rechazadas,Llamadas derivadas,Tiempo hablado,Fecha llamada,Empresa,Área de trabajo,Motivo de llamada
Domingo Borrell Cepeda,13,37,14,29,1:02:02,2023-03-27,Cañellas-Adadia,Administración,Consulta de producto
Dulce Eva María Amaya Alsina,97,15,17,18,0:18:55,2023-05-19,Mariscal-Luz,Soporte,Solicitud de información
Coral del Carnero,55,3,19,8,0:24:17,2023-05-29,Cañellas-Adadia,Desarrollo,Solicitud de información
Moisés Trillo Cabrero,17,24,18,11,0:27:15,2023-05-11,Puig Inc,Ventas,Seguimiento de pedido
Adelina Domingo Mariscal,88,42,18,17,2:33:47,2023-03-17,"Guillén, Lara and Molina",Soporte,Reclamación de factura
Reinaldo Ledesma Belda,38,3,16,24,2:22:34,2023-05-11,"Cuervo, Madrid and Granados",Desarrollo,Solicitud de información
Prudencia Ramirez,37,13,17,10,2:00:48,2023-04-18,"Llobet, Azcona and Muro",Soporte,Soporte técnico
Anabel Leal Ayala,21,20,1,11,0:29:49,2023-05-25,Mariscal-Luz,Soporte,Consulta de producto
Imelda Paz Pagès Viña,79,18,4,19,2:55:37,2023-04-08,"Cuervo, Madrid and Granados",Soporte,Consulta de producto
Sofía Tamarit Arribas,61,48,8,18,1:19:45,2023-05-10,Mariscal-Luz,Marketing,Consulta de producto
Domingo Borrell Cepeda,13,37,14,29,1:02:02,2023-03-27,Cañellas-Adadia,Administración,Consulta de producto
Dulce Eva María Amaya Alsina,97,15,17,18,0:18:55,2023-05-19,Mariscal-Luz,Soporte,Solicitud de información
Coral del Carnero,55,3,19,8,0:24:17,2023-05-29,Cañellas-Adadia,Desarrollo,Solicitud de información
Moisés Trillo Cabrero,17,24,18,11,0:27:15,2023-05-11,Puig Inc,Ventas,Seguimiento de pedido
Adelina Domingo Mariscal,88,42,18,17,2:33:47,2023-03-17,"Guillén, Lara and Molina",Soporte,Reclamación de factura
Reinaldo Ledesma Belda,38,3,16,24,2:22:34,2023-05-11,"Cuervo, Madrid and Granados",Desarrollo,Solicitud de información
Prudencia Ramirez,37,13,17,10,2:00:48,2023-04-18,"Llobet, Azcona and Muro",Soporte,Soporte técnico
Anabel Leal Ayala,21,20,1,11,0:29:49,2023-05-25,Mariscal-Luz,Soporte,Consulta de producto
Imelda Paz Pagès Viña,79,18,4,19,2:55:37,2023-04-08,"Cuervo, Madrid and Granados",Soporte,Consulta de producto
Sofía Tamarit Arribas,61,48,8,18,1:19:45,2023-05-10,Mariscal-Luz,Marketing,Consulta de producto
Domingo Borrell Cepeda,13,37,14,29,1:02:02,2023-03-27,Cañellas-Adadia,Administración,Consulta de producto
Dulce Eva María Amaya Alsina,97,15,17,18,0:18:55,2023-05-19,Mariscal-Luz,Soporte,Solicitud de información
Coral del Carnero,55,3,19,8,0:24:17,2023-05-29,Cañellas-Adadia,Desarrollo,Solicitud de información
Moisés Trillo Cabrero,17,24,18,11,0:27:15,2023-05-11,Puig Inc,Ventas,Seguimiento de pedido
Adelina Domingo Mariscal,88,42,18,17,2:33:47,2023-03-17,"Guillén, Lara and Molina",Soporte,Reclamación de factura
Reinaldo Ledesma Belda,38,3,16,24,2:22:34,2023-05-11,"Cuervo, Madrid and Granados",Desarrollo,Solicitud de información
Prudencia Ramirez,37,13,17,10,2:00:48,2023-04-18,"Llobet, Azcona and Muro",Soporte,Soporte técnico
Anabel Leal Ayala,21,20,1,11,0:29:49,2023-05-25,Mariscal-Luz,Soporte,Consulta de producto
Imelda Paz Pagès Viña,79,18,4,19,2:55:37,2023-04-08,"Cuervo, Madrid and Granados",Soporte,Consulta de producto
Sofía Tamarit Arribas,61,48,8,18,1:19:45,2023-05-10,Mariscal-Luz,Marketing,Consulta de producto
Domingo Borrell Cepeda,13,37,14,29,1:02:02,2023-03-27,Cañellas-Adadia,Administración,Consulta de producto
Dulce Eva María Amaya Alsina,97,15,17,18,0:18:55,2023-05-19,Mariscal-Luz,Soporte,Solicitud de información
Coral del Carnero,55,3,19,8,0:24:17,2023-05-29,Cañellas-Adadia,Desarrollo,Solicitud de información
Moisés Trillo Cabrero,17,24,18,11,0:27:15,2023-05-11,Puig Inc,Ventas,Seguimiento de pedido
Adelina Domingo Mariscal,88,42,18,17,2:33:47,2023-03-17,"Guillén, Lara and Molina",Soporte,Reclamación de factura
Reinaldo Ledesma Belda,38,3,16,24,2:22:34,2023-05-11,"Cuervo, Madrid and Granados",Desarrollo,Solicitud de información
Prudencia Ramirez,37,13,17,10,2:00:48,2023-04-18,"Llobet, Azcona and Muro",Soporte,Soporte técnico
Anabel Leal Ayala,21,20,1,11,0:29:49,2023-05-25,Mariscal-Luz,Soporte,Consulta de producto
Imelda Paz Pagès Viña,79,18,4,19,2:55:37,2023-04-08,"Cuervo, Madrid and Granados",Soporte,Consulta de producto
Sofía Tamarit Arribas,61,48,8,18,1:19:45,2023-05-10,Mariscal-Luz,Marketing,Consulta de producto
